District,Primary Type,0
10.0,INTERFERENCE WITH PUBLIC OFFICER,0.491261218706
10.0,INTIMIDATION,0.0566839867737
10.0,KIDNAPPING,0.0283419933869
10.0,LIQUOR LAW VIOLATION,0.330656589513
10.0,MOTOR VEHICLE THEFT,3.48606518658
10.0,NARCOTICS,15.6258856873
10.0,NON - CRIMINAL,0.0188946622579
10.0,NON-CRIMINAL,0.00944733112896
10.0,OFFENSE INVOLVING CHILDREN,0.925838450638
10.0,OTHER OFFENSE,5.46055739254
10.0,PROSTITUTION,0.0944733112896
10.0,PUBLIC PEACE VIOLATION,1.88001889466
10.0,ROBBERY,4.34577231932
10.0,SEX OFFENSE,0.283419933869
10.0,STALKING,0.0472366556448
10.0,THEFT,15.6164383562
10.0,WEAPONS VIOLATION,1.46433632499
11.0,ARSON,0.105152471083
11.0,ASSAULT,5.62565720294
11.0,BATTERY,18.2264283211
11.0,BURGLARY,2.64049538497
11.0,CONCEALED CARRY LICENSE VIOLATION,0.0175254118472
11.0,CRIM SEXUAL ASSAULT,0.479027923823
11.0,CRIMINAL DAMAGE,6.57787124664
11.0,CRIMINAL TRESPASS,1.48966000701
11.0,DECEPTIVE PRACTICE,2.8099076995
11.0,GAMBLING,0.479027923823
11.0,HOMICIDE,0.25119756981
11.0,INTERFERENCE WITH PUBLIC OFFICER,1.15667718191
11.0,INTIMIDATION,0.0408926276434
11.0,KIDNAPPING,0.0292090197453
11.0,LIQUOR LAW VIOLATION,0.0759434513378
11.0,MOTOR VEHICLE THEFT,2.7982240916
11.0,NARCOTICS,32.4629045449
11.0,OBSCENITY,0.0116836078981
11.0,OFFENSE INVOLVING CHILDREN,0.636756630447
11.0,OTHER NARCOTIC VIOLATION,0.0116836078981
11.0,OTHER OFFENSE,5.12910386727
11.0,PROSTITUTION,2.47108307045
11.0,PUBLIC PEACE VIOLATION,1.13330996612
11.0,ROBBERY,3.58102582077
11.0,SEX OFFENSE,0.204463138217
11.0,STALKING,0.0350508236944
11.0,THEFT,10.433461853
11.0,WEAPONS VIOLATION,1.08657553453
12.0,ARSON,0.131988309607
12.0,ASSAULT,5.95832940511
12.0,BATTERY,15.6688978976
12.0,BURGLARY,5.6943527859
12.0,CONCEALED CARRY LICENSE VIOLATION,0.00942773640049
12.0,CRIM SEXUAL ASSAULT,0.292259828415
12.0,CRIMINAL DAMAGE,11.4924106722
12.0,CRIMINAL TRESPASS,2.83774865655
12.0,DECEPTIVE PRACTICE,5.30781559348
12.0,GAMBLING,0.037710945602
12.0,HOMICIDE,0.0659941548034
12.0,INTERFERENCE WITH PUBLIC OFFICER,0.207410200811
12.0,INTIMIDATION,0.0471386820025
12.0,KIDNAPPING,0.0282832092015
12.0,LIQUOR LAW VIOLATION,0.179126991609
12.0,MOTOR VEHICLE THEFT,5.12868860187
12.0,NARCOTICS,5.10040539267
12.0,OFFENSE INVOLVING CHILDREN,0.914490430848
12.0,OTHER OFFENSE,4.94013387386
12.0,PROSTITUTION,0.461959083624
12.0,PUBLIC PEACE VIOLATION,0.829640803243
12.0,ROBBERY,3.17714716697
12.0,SEX OFFENSE,0.254548882813
12.0,STALKING,0.0754218912039
12.0,THEFT,30.7249929292
12.0,WEAPONS VIOLATION,0.433675874423
14.0,ARSON,0.0754527162978
14.0,ASSAULT,4.84154929577
14.0,BATTERY,16.2726358149
14.0,BURGLARY,7.74647887324
14.0,CRIM SEXUAL ASSAULT,0.465291750503
14.0,CRIMINAL DAMAGE,11.0789738431
14.0,CRIMINAL TRESPASS,2.32645875252
14.0,DECEPTIVE PRACTICE,4.48943661972
14.0,HOMICIDE,0.0628772635815
14.0,INTERFERENCE WITH PUBLIC OFFICER,0.213782696177
14.0,INTIMIDATION,0.0125754527163
14.0,KIDNAPPING,0.0503018108652
14.0,LIQUOR LAW VIOLATION,0.377263581489
14.0,MOTOR VEHICLE THEFT,4.6277665996
14.0,NARCOTICS,3.48340040241
14.0,OFFENSE INVOLVING CHILDREN,0.729376257545
14.0,OTHER OFFENSE,4.69064386318
14.0,PROSTITUTION,0.113179074447
14.0,PUBLIC PEACE VIOLATION,0.44014084507
14.0,ROBBERY,3.58400402414
14.0,SEX OFFENSE,0.427565392354
14.0,STALKING,0.0503018108652
14.0,THEFT,33.3375251509
14.0,WEAPONS VIOLATION,0.503018108652
15.0,ARSON,0.0829416643627
15.0,ASSAULT,6.45101833932
15.0,BATTERY,20.9012994194
15.0,BURGLARY,2.80158510736
